speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,teda_flag,prediction,kan_prediction,tflite_prediction
48,1741,14,17,6,1020.824951,-0.04,-0.05,0.02,0,1,1,0
47,1700,13,7,-5,810,-0.01,-0.07,0.05,0,1,1,1
45,1633,13,7,-6,762.580017,0.01,-0.06,0.12,0,1,1,0
43,1562,12,7,-8,690.500000,-0.01,-0.04,0.18,0,1,1,0
41,1496,12,7,-9,647.039978,-0.01,-0.04,0.07,0,1,1,0
38,1374,12,6,-8,566.279968,0.04,-0.04,0.12,0,1,1,1
32,1172,13,6,7,469.680023,0.05,-0.07,0.02,0,1,1,1
26,1297,12,6,-9,399.520020,0,-0.04,-0.08,0,1,1,0
22,1082,11,7,-9,316.389984,0,-0.07,-0.09,0,1,1,0
17,1468,20,22,-18,676.260010,0.02,-0.07,-0.03,0,1,1,0
19,1701,22,27,13,897.229980,0.02,-0.03,-0.05,0,1,1,0
21,1861,24,30,15,1086.555054,0.01,-0.06,-0.05,0,1,1,0
22,1976,25,31,15,1186.140015,0,-0.08,-0.13,0,1,1,0
24,2114,25,31,15,1268.849976,0,-0.04,-0.09,0,1,1,0
25,2213,25,29,15,1272.510010,0,-0.03,-0.13,0,1,1,0
27,2310,24,28,17,1295.250000,-0.01,-0.07,-0.09,0,0,1,0
28,2404,25,29,18,1397.640015,0,-0.05,-0.07,0,0,1,0
29,2499,25,29,18,1449.709961,-0.02,-0.08,-0.11,0,1,1,0
31,2585,23,26,18,1392.225098,0,-0.09,-0.05,0,1,1,0
31,2616,22,21,19,1252.160034,-0.04,-0.05,-0.02,0,1,1,0
32,2293,23,25,10,1309.005005,-0.02,0,0,0,1,1,0
33,1794,22,27,15,1198.200073,-0.01,-0.01,0.05,0,1,1,0
33,1745,21,27,15,1153.500000,0,0.02,0.07,0,1,1,0
34,1693,20,26,15,1107.900024,-0.02,0.03,0.04,0,1,1,0
35,1705,17,18,14,902.325012,0,0.05,0.05,0,1,1,1
34,1712,13,7,-5,617.460022,0.01,0.05,0.04,0,1,1,0
34,1639,12,7,24,581.994995,-0.01,0.02,0.05,0,1,1,1
33,1626,13,6,-7,570.570068,0.01,0.01,0.04,0,1,1,1
32,1566,12,7,-8,539.369995,0,0.03,0.14,0,1,1,0
